Recording,Task,Participant,AOI,AOI_No,Duration_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations,Regression-path_duration,Re-reading_duration
p103_1,1,p103,stack trace,AOI_5,1052622,Tab,1558,142,67,333,11,658717,125,project structure,4.82958,1558,142,67,333,11,658717,125,4.82958,1733,433,125,858,4,658717,125,1917,479,208,867,4,658633,208,1,765137,106421,1,765137,106421,6,658633,658842,449.03,237.51,,,,,,,,,,,,,
p103_2,2,p103,chat,AOI_1,1064897,LeftShift,70266,276,67,1867,255,240688,83,chat,4.4042,63774,271,67,1867,235,240688,83,4.38663,91229,1941,67,13325,47,240688,3183,92904,1977,75,13325,47,240622,3250,19,258940,18252,19,258940,18252,188,240622,243872,456.94,516.24,,,,,,,,,,,,,
p103_2,2,p103,code pane,AOI_2,1064897,LeftShift,445136,281,67,2750,1582,221338,175,chat,4.50185,419461,280,67,2750,1497,221955,258,4.49578,608960,14499,167,83699,42,221338,19283,610643,14539,208,83766,42,221338,19283,196,205684,4850,187,205684,4850,1286,243872,240622,516.24,456.94,,,,,,,,,,,,,
p103_2,2,p103,project structure,AOI_4,1064897,LeftShift,1042,174,83,225,6,541896,133,chat,4.42578,1042,174,83,225,6,541896,133,4.42578,1175,588,83,1092,2,541896,1092,1317,658,167,1150,2,541837,1150,0,,,0,,,4,541837,543004,378.31,257.35,,,,,,,,,,,,,
p103_2,2,p103,stack trace,AOI_5,1064897,LeftShift,2500,156,83,300,16,547896,183,chat,4.42397,2417,161,108,300,15,547896,183,4.42852,2642,220,108,475,12,547896,183,3033,253,125,542,12,547896,183,0,,,0,,,3,547754,548104,164.33,38.59,,,,,,,,,,,,,
p104_1,1,p104,code pane,AOI_2,1036879,.,451403,294,67,2608,1535,219347,275,stack trace,3.89732,414873,293,67,2608,1417,219347,275,3.88666,642490,17847,75,106100,36,219347,42342,643690,17880,83,106100,36,219331,42358,89,234010,14663,87,239250,19903,1162,262764,261714,325.42,34.5,,,,,,,,,,,,,
p104_1,1,p104,copilot,AOI_3,1036879,.,61471,293,67,1850,210,381722,192,stack trace,3.72674,57583,300,67,1850,192,381722,192,3.7207,82691,3180,83,39233,26,381722,1217,83525,3212,117,39241,26,381664,1275,6,402561,20839,6,402561,20839,150,381664,400080,628.62,544.47,,,,,,,,,,,,,
p104_1,1,p104,project structure,AOI_4,1036879,.,1433,205,75,333,7,407097,75,stack trace,4.13682,1433,205,75,333,7,407097,75,4.13682,1450,242,75,417,6,407097,75,1675,279,150,442,6,407022,150,0,,,0,,,1,407022,707621,123.16,703.77,,,,,,,,,,,,,
p104_1,1,p104,stack trace,AOI_5,1036879,.,14400,218,67,1875,66,375614,150,stack trace,3.96999,13217,224,67,1875,59,375614,150,3.9708,16804,646,75,2308,26,375614,1167,17508,673,92,2308,26,375580,1200,0,,,0,,,31,375580,376780,284.95,519.28,,,,,,,,,,,,,
p104_2,2,p104,chat,AOI_1,1021366,Return,92541,264,75,1725,351,49999,150,chat,3.67196,84833,262,75,1725,324,49999,150,3.66112,132146,1631,83,25275,81,49999,150,134850,1665,83,25275,81,49924,225,18,70140,20141,18,70140,20141,243,49924,57708,685.85,516.78,,,,,,,,,,,,,
p104_2,2,p104,code pane,AOI_2,1021366,Return,515141,293,62,3208,1758,49016,133,chat,3.73981,467956,295,62,3208,1587,49016,133,3.7279,720644,7833,67,193907,92,49016,908,723560,7865,75,193924,92,48983,942,94,54461,5445,94,54461,5445,1277,48983,49924,340.54,685.85,,,,,,,,,,,,,
p104_2,2,p104,project structure,AOI_4,1021366,Return,983,197,92,300,5,50841,175,chat,3.63276,983,197,92,300,5,50841,175,3.63276,992,248,150,400,4,50841,175,1058,265,167,433,4,50824,192,0,,,0,,,1,51924,51016,64.56,132.13,,,,,,,,,,,,,
p104_2,2,p104,stack trace,AOI_5,1021366,Return,12716,240,33,717,53,48950,33,chat,3.75675,12683,244,100,717,52,57774,217,3.75722,13883,555,33,2967,25,48950,33,14933,597,33,3000,25,48950,33,1,891286,842336,1,891286,842336,23,57708,48983,516.78,340.54,,,,,,,,,,,,,
p105_1,1,p105,code pane,AOI_2,1026012,[Shift] + ),432541,339,67,4242,1275,227026,229,code pane,5.48475,407944,342,67,4242,1194,227280,67,5.48039,598503,19307,160,164383,31,227026,8079,599411,19336,168,164383,31,227026,8079,105,238080,11054,105,238080,11054,1100,236096,235121,194.14,74.11,,,,,,,,,,,,,
p105_1,1,p105,copilot,AOI_3,1026012,[Shift] + ),73804,386,75,2442,191,279271,733,code pane,5.35795,68795,382,83,2442,180,279271,733,5.3571,107270,7662,233,34500,14,279271,17233,107612,7687,292,34583,14,279271,17233,11,279784,513,11,279784,513,163,352296,296529,161.95,350.25,,,,,,,,,,,,,
p105_1,1,p105,project structure,AOI_4,1026012,[Shift] + ),13725,686,100,3017,20,235180,733,code pane,5.52966,13725,686,100,3017,20,235180,733,5.52966,14642,1627,225,5933,9,235180,892,14867,1652,283,5933,9,235180,892,7,502182,267002,6,502182,267002,10,235121,236096,74.11,194.14,,,,,,,,,,,,,
p105_1,1,p105,stack trace,AOI_5,1026012,[Shift] + ),7367,335,100,1025,22,355029,100,code pane,5.56897,7267,346,158,1025,21,409146,250,5.56873,8717,1453,100,3967,6,355029,100,8917,1486,100,4025,6,355029,100,2,410223,55194,2,410223,55194,14,409112,355146,189.68,38.38,,,,,,,,,,,,,
p105_2,2,p105,chat,AOI_1,1014744,Down,95087,310,67,1267,307,245013,67,chat,5.32339,79312,307,83,1133,258,272896,342,5.31279,169229,2774,67,20175,61,245013,67,171079,2805,67,20175,61,245013,67,13,306647,61635,13,306647,61635,202,304263,245079,471.78,537.07,,,,,,,,,,,,,
p105_2,2,p105,code pane,AOI_2,1014744,Down,308937,367,67,10600,842,237583,221,chat,5.31938,292303,373,67,10600,783,237979,258,5.31447,447795,12794,158,76741,35,237583,6113,449803,12852,158,76833,35,237583,6113,66,239384,1801,66,239384,1801,669,245079,304263,537.07,471.78,,,,,,,,,,,,,
p105_2,2,p105,project structure,AOI_4,1014744,Down,450,150,83,258,3,999310,108,chat,5.56036,450,150,83,258,3,999310,108,5.56036,508,254,83,425,2,999310,425,583,292,100,483,2,999252,483,0,,,0,,,0,999252,999735,295.07,35.71,,,,,,,,,,,,,
p105_2,2,p105,stack trace,AOI_5,1014744,Down,225,112,67,158,2,423229,158,chat,5.23928,225,112,67,158,2,423229,158,5.23928,225,112,67,158,2,423229,158,308,154,83,225,2,423162,225,0,,,0,,,0,423162,423387,322.69,330.16,,,,,,,,,,,,,
p107_1,1,p107,code pane,AOI_2,1110887,Backspace,449877,361,67,2600,1247,316071,233,code pane,4.77859,415744,357,67,2600,1165,316071,233,4.78122,636215,30296,75,171041,21,316071,66791,636840,30326,75,171133,21,316071,66791,132,328163,12091,131,328163,12091,1062,439946,382871,270.05,240.75,,,,,,,,,,,,,
p107_1,1,p107,copilot,AOI_3,1110887,Backspace,57104,457,67,2433,125,382963,483,code pane,4.41984,50696,441,67,2092,115,382963,483,4.39848,112891,22578,183,56967,5,382963,56967,112891,22578,183,56967,5,382963,56967,18,392290,9327,18,392290,9327,111,382871,439946,240.75,270.05,,,,,,,,,,,,,
p107_1,1,p107,project structure,AOI_4,1110887,Backspace,3442,382,67,1208,9,638546,392,code pane,4.74497,3442,382,67,1208,9,638546,392,4.74497,3592,718,292,1625,5,638546,1625,3650,730,292,1625,5,638546,1625,0,,,0,,,4,638454,640171,137.38,62.7,,,,,,,,,,,,,
p107_1,1,p107,stack trace,AOI_5,1110887,Backspace,8258,359,75,675,23,797878,117,code pane,5.02358,6308,350,75,675,18,797878,117,5.00525,11475,883,83,2442,13,797878,750,11633,895,92,2442,13,797878,750,4,798392,513,3,798392,513,7,797787,802895,247.25,297.39,,,,,,,,,,,,,
p107_2,2,p107,chat,AOI_1,1011340,e,5325,355,117,1717,15,447904,200,code pane,4.94179,5092,364,117,1717,14,447904,200,4.94846,5900,656,117,2000,9,447904,200,6042,671,117,2000,9,447888,217,3,445411,265313,3,445411,265313,5,492487,448104,388.25,43.7,,,,,,,,,,,,,
