Recording,Task,Participant,AOI,AOI_No,Duration_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations,Regression-path_duration,Re-reading_duration
p122_1,1,p122,copilot,AOI_3,1102446,o,62366,376,67,2462,166,422034,158,code pane,4.8707,56596,382,67,2462,148,422267,150,4.86576,92271,4614,108,35750,20,422034,16725,92779,4639,125,35750,20,422034,16725,7,416169,135343,7,416169,135343,83,446734,438784,230.92,245.61,,,,,,,,,,,,,
p122_1,1,p122,project structure,AOI_4,1102446,o,175,175,175,175,1,1093791,175,code pane,4.66097,175,175,175,175,1,1093791,175,4.66097,175,175,175,175,1,1093791,175,200,200,200,200,1,1093766,200,0,,,0,,,0,1093766,1093966,81.38,51.3,,,,,,,,,,,,,
p122_1,1,p122,stack trace,AOI_5,1102446,o,21033,329,75,1717,64,738775,117,code pane,4.9147,19408,323,75,1717,60,738775,117,4.91538,24550,2046,117,11617,12,738775,117,24958,2080,142,11625,12,738733,158,5,776367,37592,5,776367,37592,45,775933,738891,399.66,38.61,,,,,,,,,,,,,
p122_2,2,p122,chat,AOI_1,1007539,Return,42721,269,67,2142,159,47999,175,project structure,4.83554,39204,269,67,2142,146,47999,175,4.83663,63491,1764,67,9783,36,47999,175,64537,1793,83,9783,36,47932,242,11,361429,313431,11,361429,313431,68,47932,48174,538.1,154.19,,,,,,,,,,,,,
p122_2,2,p122,code pane,AOI_2,1007539,Return,606592,361,40,3042,1680,47209,40,project structure,4.92433,542761,364,67,3042,1492,47290,150,4.91504,792405,18428,125,285308,43,47209,723,794067,18467,125,285341,43,47209,723,83,52472,5263,83,52472,5263,1224,48699,47932,470.43,538.1,,,,,,,,,,,,,
p122_2,2,p122,project structure,AOI_4,1007539,Return,3887,324,125,1100,12,49582,133,project structure,4.75913,3704,337,125,1100,11,49582,133,4.7536,4112,822,292,1437,5,49582,1425,4441,888,342,1508,5,49507,1500,0,,,0,,,7,49507,51007,334.39,287.15,,,,,,,,,,,,,
p122_2,2,p122,stack trace,AOI_5,1007539,Return,2200,244,83,542,9,49057,242,project structure,4.54813,1667,208,83,542,8,49057,242,4.6329,2567,428,83,1042,6,49057,450,2792,465,92,1050,6,49007,500,0,,,0,,,2,49007,49507,349.37,334.39,,,,,,,,,,,,,
p123_1,1,p123,code pane,AOI_2,1016559,Down,396745,388,35,4958,1022,241339,35,stack trace,4.86173,354333,384,67,4958,922,241391,258,4.8556,509102,10390,91,82793,49,241339,82793,510877,10426,91,82793,49,241339,82793,25,351185,109846,25,351185,109846,836,373274,416149,390.75,245.12,,,,,,,,,,,,,
p123_1,1,p123,copilot,AOI_3,1016559,Down,111053,398,67,2600,279,324349,267,stack trace,4.88541,103017,414,67,2600,249,324349,267,4.8768,124302,2891,108,33500,43,324349,2908,125760,2925,108,33500,43,324349,2908,3,443872,119523,3,443872,119523,216,327516,327274,288.16,85.47,,,,,,,,,,,,,
p123_1,1,p123,project structure,AOI_4,1016559,Down,167,167,167,167,1,1008439,167,stack trace,5.15718,167,167,167,167,1,1008439,167,5.15718,167,167,167,167,1,1008439,167,167,167,167,167,1,1008439,167,0,,,0,,,0,1008347,1008630,225.81,113.01,,,,,,,,,,,,,
p123_1,1,p123,stack trace,AOI_5,1016559,Down,4242,250,133,554,17,628015,267,stack trace,4.98092,3529,252,133,554,14,628015,267,4.97349,4529,503,258,1450,9,628015,267,4871,541,292,1492,9,627965,317,0,,,0,,,8,627965,628281,362.53,47.16,,,,,,,,,,,,,
p123_2,2,p123,chat,AOI_1,1001009,Return,139517,346,67,1992,403,279421,158,chat,4.93235,119379,340,67,1892,351,279421,158,4.92532,182217,2195,125,19958,83,279421,158,185230,2232,125,20041,83,279421,158,8,434651,155231,8,434651,155231,263,279321,434645,339.51,296.27,,,,,,,,,,,,,
p123_2,2,p123,code pane,AOI_2,1001009,Return,347397,363,57,3250,956,250014,57,chat,4.90097,298003,361,67,2108,825,250096,450,4.89416,463493,5453,75,127950,85,250014,29282,465951,5482,75,127950,85,250014,29282,41,270853,20838,41,270853,20838,712,413820,279321,357.05,339.51,,,,,,,,,,,,,
p123_2,2,p123,project structure,AOI_4,1001009,Return,1333,444,300,708,3,641720,708,chat,4.94661,1333,444,300,708,3,641720,708,4.94661,1450,725,708,742,2,641720,708,1450,725,708,742,2,641720,708,0,,,0,,,1,641628,642437,184.79,151.51,,,,,,,,,,,,,
p123_2,2,p123,stack trace,AOI_5,1001009,Return,3071,219,75,458,14,413295,317,chat,4.98174,2879,221,75,458,13,413295,317,4.99195,3317,474,75,775,7,413295,525,3508,501,75,775,7,413262,558,1,986399,573104,1,986399,573104,6,413262,413820,294.97,357.05,,,,,,,,,,,,,
p124_1,1,p124,code pane,AOI_2,1093466,Backspace,318145,200,66,1825,1589,150491,210,code pane,5.42741,295527,203,67,1825,1454,150759,233,5.41938,688220,11665,75,146099,59,150491,802,690128,11697,75,146158,59,150491,802,96,158675,8185,95,158675,8185,578,164326,151293,342.15,372.04,,,,,,,,,,,,,
p124_1,1,p124,copilot,AOI_3,1093466,Backspace,113291,245,67,3575,463,169101,183,code pane,5.38587,107075,236,67,2608,453,169101,183,5.3793,167233,3041,75,27717,55,169101,183,168724,3068,92,27725,55,169034,250,15,316618,147517,14,316618,147517,220,169034,169284,461.96,624.32,,,,,,,,,,,,,
p124_1,1,p124,project structure,AOI_4,1093466,Backspace,2692,158,67,367,17,156201,158,code pane,5.06842,2692,158,67,367,17,156201,158,5.06842,4075,1019,650,1275,4,156201,1167,4217,1054,700,1292,4,156159,1208,0,,,0,,,7,156159,164326,189.76,342.15,,,,,,,,,,,,,
p124_1,1,p124,stack trace,AOI_5,1093466,Backspace,2308,289,67,1033,8,151334,158,code pane,5.2458,2008,287,67,1033,7,151334,158,5.1431,2467,617,300,1350,4,151334,450,2558,640,300,1383,4,151293,492,0,,,0,,,3,151293,,372.04,,,,,,,,,,,,,,
p124_2,2,p124,chat,AOI_1,1042043,Return,7321,156,67,525,47,104572,67,code pane,5.21147,5854,143,67,483,41,104572,67,5.19283,12842,1070,67,2783,12,104572,67,12958,1080,75,2792,12,104564,75,7,550484,445912,7,550484,445912,11,601432,108589,39.05,238.9,,,,,,,,,,,,,
p124_2,2,p124,code pane,AOI_2,1042043,Return,324928,237,67,3692,1371,104947,142,code pane,5.21722,307699,238,67,3692,1291,104947,142,5.2157,856321,45070,67,321894,19,104947,142,856883,45099,67,321952,19,104931,158,94,110408,5460,94,110408,5460,599,110539,117981,477.14,580.4,,,,,,,,,,,,,
p124_2,2,p124,project structure,AOI_4,1042043,Return,2392,199,75,283,12,106614,125,code pane,5.38001,2392,199,75,283,12,106614,125,5.38001,2700,540,100,1192,5,106614,442,2950,590,142,1217,5,106531,525,0,,,0,,,6,117981,118289,580.4,183.86,,,,,,,,,,,,,
p125_1,1,p125,code pane,AOI_2,1029058,[Ctrl] + z,238763,315,67,2425,758,294565,211,project structure,4.7712,201924,305,67,2425,662,294800,325,4.75335,386963,4837,117,55542,80,294565,4552,389617,4870,133,55608,80,294565,4552,31,303071,8507,31,303071,8507,511,358959,304259,184.97,624.23,,,,,,,,,,,,,
p125_1,1,p125,copilot,AOI_3,1029058,[Ctrl] + z,114779,334,62,3008,344,299267,375,project structure,4.66341,94550,328,62,3008,288,299267,375,4.62505,180087,2905,100,54625,62,299267,1033,182304,2940,117,54700,62,299250,1050,17,305375,6108,17,305375,6108,204,304259,358959,624.23,184.97,,,,,,,,,,,,,
p125_1,1,p125,project structure,AOI_4,1029058,[Ctrl] + z,5482,261,82,758,21,459908,117,project structure,4.79627,3158,243,100,383,13,459908,117,4.83331,9740,1217,100,6758,8,459908,117,9948,1244,100,6758,8,459875,150,0,,,0,,,7,483475,484908,389.9,397.92,,,,,,,,,,,,,
p125_1,1,p125,stack trace,AOI_5,1029058,[Ctrl] + z,38592,424,67,3725,91,458592,242,project structure,5.02432,29250,443,67,2942,66,458592,242,5.03662,52883,1763,117,8625,30,458592,242,53400,1780,133,8625,30,458542,292,17,505798,47206,17,505798,47206,41,458542,458833,357.29,317.93,,,,,,,,,,,,,
p125_2,2,p125,chat,AOI_1,994135,Backspace,78242,299,62,2392,262,381020,150,chat,4.64335,68471,294,62,1867,233,381020,150,4.64598,119041,1860,67,10033,64,381020,2633,120458,1882,67,10033,64,381020,2633,17,455651,74630,17,455651,74630,112,380862,457012,428.26,419.9,,,,,,,,,,,,,
p125_2,2,p125,code pane,AOI_2,994135,Backspace,286285,323,67,2850,885,372439,548,chat,4.78294,267495,324,67,2850,825,373070,1225,4.76951,390514,6973,225,68808,56,372439,8398,391956,6999,225,68808,56,372439,8398,54,410723,38284,53,410723,38284,612,457012,380862,419.9,428.26,,,,,,,,,,,,,
p125_2,2,p125,project structure,AOI_4,994135,Backspace,2292,255,75,558,9,643036,75,chat,4.85731,2292,255,75,558,9,643036,75,4.85731,2392,598,75,1275,4,643036,75,2575,644,133,1292,4,642978,133,0,,,0,,,5,,643111,,219.77,,,,,,,,,,,,,
p125_2,2,p125,stack trace,AOI_5,994135,Backspace,3042,169,67,325,18,537086,75,chat,4.77598,2867,169,67,325,17,537086,75,4.74285,3658,305,67,808,12,537086,75,4042,337,92,808,12,537070,92,0,,,0,,,3,537070,537161,56.25,1244.13,,,,,,,,,,,,,
p126_1,1,p126,code pane,AOI_2,294019,Tab,121350,274,67,2125,443,45501,300,code pane,4.23987,108785,273,67,1042,398,45501,300,4.22991,163016,18113,275,113883,9,45501,567,163424,18158,325,113900,9,45435,633,43,51068,5566,43,51068,5566,362,45435,46068,469.01,421.92,,,,,,,,,,,,,
p126_1,1,p126,copilot,AOI_3,294019,Tab,1650,275,125,467,6,45268,167,code pane,4.0017,1650,275,125,467,6,45268,167,4.0017,1725,431,167,733,4,45268,167,1933,483,175,800,4,45260,175,0,,,0,,,2,45260,45435,30.48,469.01,,,,,,,,,,,,,
p126_1,1,p126,project structure,AOI_4,294019,Tab,592,296,150,442,2,47076,150,code pane,3.60887,592,296,150,442,2,47076,150,3.60887,592,296,150,442,2,47076,150,658,329,192,467,2,47035,192,0,,,0,,,0,47035,47226,257.43,60.86,,,,,,,,,,,,,
p126_1,1,p126,stack trace,AOI_5,294019,Tab,1850,264,167,358,7,46110,208,code pane,3.92182,1850,264,167,358,7,46110,208,3.92182,1992,498,217,1025,4,46110,425,2200,550,283,1083,4,46068,467,1,293626,247516,0,,,3,46068,53876,421.92,485.16,,,,,,,,,,,,,
p126_2,2,p126,chat,AOI_1,1068849,Return,29229,340,75,2725,86,432559,342,chat,4.3158,25737,334,75,2725,77,432559,342,4.31693,33091,1379,108,4667,24,432559,667,33779,1407,133,4692,24,432534,692,5,433246,686,5,433246,686,54,432534,433226,131.59,381.05,,,,,,,,,,,,,
p126_2,2,p126,code pane,AOI_2,1068849,Return,479502,313,67,2858,1533,352515,228,chat,4.26486,441628,311,67,2858,1421,352776,467,4.26173,659443,25363,142,264916,26,352515,77286,660293,25396,225,264991,26,352515,77286,108,355094,2579,108,355094,2579,1257,430368,429801,455.02,498.29,,,,,,,,,,,,,
p126_2,2,p126,project structure,AOI_4,1068849,Return,1742,435,183,958,4,1059566,183,chat,4.31185,1742,435,183,958,4,1059566,183,4.31185,1808,904,283,1525,2,1059566,1525,1925,962,358,1567,2,1059524,1567,0,,,0,,,2,1059524,1061091,215.51,154.57,,,,,,,,,,,,,
p126_2,2,p126,stack trace,AOI_5,1068849,Return,3471,289,133,742,12,698559,742,chat,4.16867,3317,302,133,742,11,698559,742,4.16313,3579,447,133,1450,8,698559,1450,3787,473,142,1458,8,698550,1458,0,,,0,,,4,698550,700009,35.83,167.9,,,,,,,,,,,,,
p127_1,1,p127,code pane,AOI_2,1032071,[Ctrl] + s,414736,334,67,3242,1240,288234,629,project structure,5.54254,390532,328,67,2533,1190,288880,92,5.54402,515849,6699,67,82158,77,288234,5229,518258,6731,67,82175,77,288234,5229,84,308515,20281,83,308515,20281,1022,379596,293463,346.91,380.79,,,,,,,,,,,,,
p127_1,1,p127,copilot,AOI_3,1032071,[Ctrl] + s,107683,325,67,2133,331,293538,183,project structure,5.5195,103787,329,67,2133,315,293538,183,5.5212,125858,1851,92,10308,68,293538,10246,127783,1879,100,10321,68,293463,10321,22,298875,5337,21,298875,5337,223,293463,303784,380.79,204.23,,,,,,,,,,,,,
p127_1,1,p127,project structure,AOI_4,1032071,[Ctrl] + s,9533,318,92,1996,30,434571,175,project structure,5.59825,9417,325,92,1996,29,434571,175,5.59684,10125,675,92,1996,15,434571,175,10487,699,117,1996,15,434571,175,0,,,0,,,12,434476,434763,64.32,76.16,,,,,,,,,,,,,
p127_1,1,p127,stack trace,AOI_5,1032071,[Ctrl] + s,10792,166,67,533,65,303847,417,project structure,5.59658,7742,176,67,417,44,303847,417,5.55118,35817,1885,67,16417,19,303847,417,36408,1916,83,16450,19,303847,417,2,339811,35964,2,339811,35964,14,303784,304288,204.23,138.88,,,,,,,,,,,,,
p127_2,2,p127,chat,AOI_1,739091,Backspace,75980,284,67,4325,268,262165,108,project structure,5.5585,68704,294,67,4325,234,275357,100,5.55859,157566,3939,67,37526,40,262165,1200,158591,3965,67,37534,40,262165,1200,15,263163,997,15,263163,997,127,311582,275482,414.76,271.93,,,,,,,,,,,,,
p127_2,2,p127,code pane,AOI_2,739091,Backspace,153876,318,67,2283,484,228806,284,project structure,5.62222,141367,319,67,2283,443,229124,642,5.61625,228276,5568,67,35975,41,228806,22892,230035,5611,83,35975,41,228806,22892,73,252963,24157,69,258699,29892,336,251940,251699,34.77,341.02,,,,,,,,,,,,,
p127_2,2,p127,project structure,AOI_4,739091,Backspace,238,119,67,171,2,261832,171,project structure,5.53749,238,119,67,171,2,261832,171,5.53749,238,119,67,171,2,261832,171,246,123,75,171,2,261832,171,0,,,0,,,0,261765,,48.64,,,,,,,,,,,,,,
p127_2,2,p127,stack trace,AOI_5,739091,Backspace,92,92,92,92,1,312307,92,project structure,5.53053,92,92,92,92,1,312307,92,5.53053,92,92,92,92,1,312307,92,183,183,183,183,1,312215,183,0,,,0,,,0,312215,312399,369.39,112.55,,,,,,,,,,,,,
p128_1,1,p128,code pane,AOI_2,1874963,[Ctrl] + s,163409,257.5,67,3642,2348,602207,346,project structure,3.868645,600784,266,67,3642,2282,602669,83,3.865755,1022997,28572.5,117,118308,42,602207,77707,1024530,28613.5,133,210176,42,602207,77707,227,602517,311,217,602517,311,1767,680889,167962,168.22,100,,,,,,,,,,,,,
p128_1,1,p128,copilot,AOI_3,1874963,[Ctrl] + s,11030,311,100,767,8,715897,100,project structure,1.60939,2971,185.5,100,767,8,715897,100,1.60939,2971,185.5,100,767,8,715897,100,3012,188.5,142,767,8,715856,142,0,,,0,,,0,715856,,141.27,256.01,,,,,,,,,,,,,
p128_1,1,p128,project structure,AOI_4,1874963,[Ctrl] + s,542836,89.5,20,608,26,679997,437,project structure,3.97174,4304,188.5,83,608,23,679997,437,3.94095,5712,639.5,67,1425,9,679997,883,6045,677.5,133,1292,9,679997,883,0,,,0,,,12,679939,174812,100,168.22,,,,,,,,,,,,,
p128_1,1,p128,stack trace,AOI_5,1874963,[Ctrl] + s,306166,212.5,67,958,80,716031,267,project structure,3.83682,18600,238,67,958,78,716031,267,3.83649,24042,782,117,4017,31,716031,558,25199,820.5,67,4042,31,715997,592,10,887404,171373,10,887404,171373,40,715997,170478,256.01,283.19,,,,,,,,,,,,,
p128_2,2,p128,chat,AOI_1,1024872,[Ctrl] + s,71525,341,67,2117,210,86435,75,code pane,4.37139,57233,303,67,2033,189,92552,183,4.36423,85750,1618,75,8325,53,86435,75,87450,1650,92,8342,53,86418,92,10,417676,331242,10,417676,331242,111,93002,196113,79.07,42.02,,,,,,,,,,,,,
p128_2,2,p128,code pane,AOI_2,1024872,[Ctrl] + s,591996,263,67,3017,2249,70185,75,code pane,4.14707,578871,263,67,3017,2201,70185,75,4.1456,768027,16696,100,220083,46,70185,1083,770085,16741,108,220166,46,70168,1100,181,80383,10198,181,80383,10198,1868,98210,71268,457.38,412.46,,,,,,,,,,,,,
p128_2,2,p128,project structure,AOI_4,1024872,[Ctrl] + s,7175,287,67,933,25,71918,108,code pane,4.3798,7175,287,67,933,25,71918,108,4.3798,8792,1465,158,3458,6,71918,2692,9050,1508,225,3508,6,71910,2700,0,,,0,,,12,80410,98210,334.91,457.38,,,,,,,,,,,,,
p128_2,2,p128,stack trace,AOI_5,1024872,[Ctrl] + s,592,99,75,133,6,71343,133,code pane,4.38683,592,99,75,133,6,71343,133,4.38683,850,213,75,517,4,71343,133,1083,271,125,542,4,71268,208,0,,,0,,,0,71268,836070,412.46,153.74,,,,,,,,,,,,,
p129_1,1,p129,code pane,AOI_2,1051430,[Ctrl] + v,507429,376,67,3383,1350,106768,100,project structure,4.27314,474216,370,67,3383,1280,106768,100,4.26618,634566,9471,67,91383,67,106768,417,636295,9497,67,91383,67,106685,500,143,115851,9083,141,115851,9083,1074,109352,107185,359.39,309.9,,,,,,,,,,,,,
p129_1,1,p129,copilot,AOI_3,1051430,[Ctrl] + v,62937,500,79,3817,126,107935,167,project structure,4.08582,53546,482,79,3817,111,107935,167,4.07964,78908,2545,125,18925,31,107935,167,80025,2581,175,19008,31,107868,233,9,301242,193307,9,301242,193307,72,107868,118377,367.41,238.75,,,,,,,,,,,,,
p129_1,1,p129,project structure,AOI_4,1051430,[Ctrl] + v,15721,366,100,1758,43,108560,183,project structure,4.37087,15054,358,100,1758,42,108560,183,4.37094,16717,697,100,2625,24,108560,183,17442,727,117,2625,24,108527,217,7,189195,80635,7,189195,80635,17,108527,108743,291.39,88.91,,,,,,,,,,,,,
p129_1,1,p129,stack trace,AOI_5,1051430,[Ctrl] + v,74679,359,67,3208,208,107227,225,project structure,4.43535,64133,326,67,2133,197,107227,225,4.41781,85512,1745,117,23625,49,107227,642,86812,1772,117,23650,49,107185,683,18,451593,344367,18,451593,344367,136,107185,107868,309.9,367.41,,,,,,,,,,,,,
p129_2,2,p129,chat,AOI_1,996269,i,39858,311,67,1342,128,459001,242,chat,4.23796,39117,308,67,1342,127,459001,242,4.23813,43933,2441,125,12167,18,459001,2950,44917,2495,175,12242,18,458909,3042,9,475197,16196,9,475197,16196,104,458909,469109,503.45,429.93,,,,,,,,,,,,,
p129_2,2,p129,code pane,AOI_2,996269,i,269018,376,67,2900,715,439308,2323,chat,4.33166,247108,372,67,2383,665,443610,308,4.32583,460839,15891,250,94267,29,439308,12535,461806,15924,267,94267,29,439308,12535,86,441125,1817,86,441125,1817,589,452493,458909,163.66,503.45,,,,,,,,,,,,,
p129_2,2,p129,stack trace,AOI_5,996269,i,6117,322,83,933,19,299528,150,chat,4.30096,5642,353,83,933,16,299528,150,4.29902,26065,3258,83,24540,8,299528,24540,26299,3287,83,24624,8,299444,24624,8,309662,10134,8,309662,10134,8,506609,324068,237.43,67.79,,,,,,,,,,,,,
p130_1,1,p130,code pane,AOI_2,1069752,Return,488894,374,62,2975,1306,129244,351,code pane,4.18407,396611,346,62,2367,1147,129753,317,4.18317,731728,38512,175,301065,19,129244,1359,732228,38538,242,301098,19,129244,1359,145,136739,7494,145,136739,7494,1003,132278,130603,579.32,392.18,,,,,,,,,,,,,
p130_1,1,p130,copilot,AOI_3,1069752,Return,75712,462,67,4675,164,143428,167,code pane,4.2139,54863,395,67,2508,139,517677,283,4.18496,141967,17746,167,63746,8,143428,167,142171,17771,208,63746,8,143387,208,15,511209,367780,14,511209,367780,108,143387,555960,278.12,257.86,,,,,,,,,,,,,
p130_1,1,p130,project structure,AOI_4,1069752,Return,1750,438,167,1133,4,131812,167,code pane,3.86659,1750,438,167,1133,4,131812,167,3.86659,1808,904,467,1342,2,131812,467,1875,938,525,1350,2,131753,525,0,,,0,,,2,131753,132278,441.99,579.32,,,,,,,,,,,,,
p130_1,1,p130,stack trace,AOI_5,1069752,Return,7063,294,83,1608,24,130653,225,code pane,4.55537,4933,247,83,417,20,130653,225,4.54326,7983,532,83,2917,15,130653,225,8308,554,100,2950,15,130603,275,4,454497,323843,4,454497,323843,8,130603,130878,392.18,149.14,,,,,,,,,,,,,
p130_2,2,p130,chat,AOI_1,1046006,[Alt Ctrl] + ],61579,290,67,1650,212,105291,150,code pane,4.12705,47654,280,67,1650,170,105291,150,4.12389,77729,1808,79,10842,43,105291,567,78600,1828,79,10842,43,105207,650,9,467858,362568,9,467858,362568,115,105207,106791,499.61,574.44,,,,,,,,,,,,,
p130_2,2,p130,code pane,AOI_2,1046006,[Alt Ctrl] + ],480015,375,67,4342,1279,103907,242,code pane,4.20268,381199,352,67,4342,1082,103907,242,4.20329,734612,26236,104,272626,28,103907,1300,735387,26264,104,272701,28,103841,1367,136,115605,11697,136,115605,11697,923,103841,105207,546.29,499.61,,,,,,,,,,,,,
p130_2,2,p130,project structure,AOI_4,1046006,[Alt Ctrl] + ],1350,270,150,633,5,107241,192,code pane,3.91886,1350,270,150,633,5,107241,192,3.91886,1425,712,367,1058,2,107241,367,1492,746,425,1067,2,107182,425,0,,,0,,,3,107182,,478.66,,,,,,,,,,,,,,
p130_2,2,p130,stack trace,AOI_5,1046006,[Alt Ctrl] + ],100,100,100,100,1,467215,100,code pane,4.27882,100,100,100,100,1,467215,100,4.27882,100,100,100,100,1,467215,100,108,108,108,108,1,467207,108,0,,,0,,,0,,467315,,146.17,,,,,,,,,,,,,
p131_1,1,p131,code pane,AOI_2,1071515,Return,450209,386,67,3642,1165,128051,156,stack trace,4.51238,427611,385,67,3642,1112,128249,300,4.51169,669267,23902,92,191441,28,128051,1297,670296,23939,92,191516,28,128051,1297,47,135800,7749,47,135800,7749,1028,129949,129349,367.21,274.27,,,,,,,,,,,,,
p131_1,1,p131,copilot,AOI_3,1071515,Return,95246,337,67,2446,283,315757,567,stack trace,4.4862,86066,338,67,2446,255,315757,567,4.4687,201441,11849,92,40542,17,315757,37233,201900,11876,133,40542,17,315757,37233,13,316335,578,13,316335,578,232,315632,352990,281.24,409.64,,,,,,,,,,,,,
p131_1,1,p131,project structure,AOI_4,1071515,Return,2200,275,142,842,8,131699,233,stack trace,4.37079,2200,275,142,842,8,131699,233,4.37079,2233,372,167,842,6,131699,450,2450,408,175,842,6,131632,517,0,,,0,,,2,131632,132149,439.41,494.95,,,,,,,,,,,,,
p131_1,1,p131,stack trace,AOI_5,1071515,Return,2031,185,125,250,11,941414,250,stack trace,4.56625,1867,187,125,250,10,941414,250,4.54949,2223,556,217,1423,4,941414,250,2406,602,250,1514,4,941414,250,0,,,0,,,7,941289,941689,245.68,282.35,,,,,,,,,,,,,
p131_2,2,p131,chat,AOI_1,992796,Return,248903,427,61,4325,583,49561,533,chat,4.49483,210883,412,75,4325,512,49561,533,4.4907,391194,5927,208,32750,66,49561,533,393602,5964,250,32775,66,49536,558,19,176880,127319,19,176880,127319,418,49536,50094,139.68,426.4,,,,,,,,,,,,,
p131_2,2,p131,code pane,AOI_2,992796,Return,316952,345,67,3350,919,46386,150,chat,4.35734,292022,346,67,3350,845,46386,150,4.34871,430009,6418,150,114142,67,46386,1025,432563,6456,158,114233,67,46311,1100,50,56888,10503,50,56888,10503,740,46311,47411,391.36,445.05,,,,,,,,,,,,,
p131_2,2,p131,project structure,AOI_4,992796,Return,675,225,200,242,3,54102,233,chat,4.37074,675,225,200,242,3,54102,233,4.37074,675,225,200,242,3,54102,233,775,258,242,275,3,54061,275,0,,,0,,,0,54061,54336,232.74,50.94,,,,,,,,,,,,,
p131_2,2,p131,stack trace,AOI_5,992796,Return,1175,147,117,217,8,47669,117,chat,4.07272,1175,147,117,217,8,47669,117,4.07272,1275,255,125,492,5,47669,492,1575,315,183,542,5,47619,542,0,,,0,,,3,47619,48161,393.77,169.26,,,,,,,,,,,,,
p132_1,1,p132,code pane,AOI_2,1010630,[Ctrl] + c,490382,315,67,2792,1557,136942,117,stack trace,5.16423,478211,314,67,2792,1521,136942,117,5.16424,666466,14180,108,149791,47,136942,283,668174,14216,125,149850,47,136900,325,104,143562,6620,104,143562,6620,1418,136900,137225,326.24,745.15,,,,,,,,,,,,,
p132_1,1,p132,copilot,AOI_3,1010630,[Ctrl] + c,45050,334,67,4717,135,136733,167,stack trace,5.1615,39417,306,92,2933,129,136733,167,5.14732,48341,1790,67,8025,27,136733,167,49283,1825,67,8025,27,136683,217,4,520032,383298,4,520032,383298,106,136683,136900,365.15,326.24,,,,,,,,,,,,,
p132_1,1,p132,project structure,AOI_4,1010630,[Ctrl] + c,2613,290,133,838,9,139092,367,stack trace,5.47868,2613,290,133,838,9,139092,367,5.47868,2742,685,208,1200,4,139092,367,2908,727,267,1200,4,139017,442,0,,,0,,,5,139017,139458,392.27,750.85,,,,,,,,,,,,,
p132_1,1,p132,stack trace,AOI_5,1010630,[Ctrl] + c,25392,233,67,1083,109,138133,217,stack trace,5.43992,25067,236,67,1083,106,138133,217,5.43925,29992,967,125,8925,31,138133,217,31025,1001,133,8950,31,138117,233,7,303521,165387,7,303521,165387,72,304741,138350,100.68,173.32,,,,,,,,,,,,,
p132_2,2,p132,chat,AOI_1,1003061,Return,6721,280,67,933,24,69275,108,chat,5.53802,6588,286,67,933,23,69275,108,5.53655,7392,569,108,1625,13,69275,108,7592,584,117,1700,13,69250,133,4,871995,802720,4,871995,802720,10,808725,69384,455.3,627.56,,,,,,,,,,,,,
p132_2,2,p132,code pane,AOI_2,1003061,Return,630988,316,67,5050,1997,56444,165,chat,5.43176,614414,314,67,5050,1955,56659,258,5.43229,875215,19026,75,209526,46,56444,890,876540,19055,75,209568,46,56444,890,112,62952,6508,112,62952,6508,1793,57792,57334,610.69,657.94,,,,,,,,,,,,,
p132_2,2,p132,project structure,AOI_4,1003061,Return,5058,230,108,708,22,58192,183,chat,5.48059,5058,230,108,708,22,58192,183,5.48059,5529,425,133,1100,13,58192,1100,5921,455,133,1142,13,58150,1142,0,,,0,,,9,58150,59292,269.08,414.71,,,,,,,,,,,,,
p132_2,2,p132,stack trace,AOI_5,1003061,Return,6641,266,125,967,25,75434,233,chat,5.64334,6641,266,125,967,25,75434,233,5.64334,7091,645,125,3616,11,75434,233,7525,684,183,3625,11,75384,283,2,525181,449748,2,525181,449748,14,75384,75667,340,221.21,,,,,,,,,,,,,
p134_1,1,p134,code pane,AOI_2,1001801,Return,521495,348,67,3458,1497,64085,100,code pane,3.81569,501394,347,67,3458,1445,64085,100,3.81426,723858,20107,125,176800,36,64085,733,725358,20149,142,176800,36,64027,792,143,67950,3865,140,67950,3865,1176,64027,65485,333.42,234.28,,,,,,,,,,,,,
